 Joint 1 torque , Joint 2 torque ,  Joint 3 torque ,  Joint 4 torque  , Position error 1 , Position error 2 , Position error 3 , Position error 4  Velocity error 1 , Velocity error 2 , Velocity error 3 , Velocity error 4 acceleration 1 , acceleration 2 , acceleration 3 , acceleration 4   Time 
0.108115,0.0196569,-26952.4,-0.00653894,-0.259288,-0.982929,-59.2583,-76.7243,1.72251,2.80593,174.201,122.126,15.0946,-44.5366,-172.36,-425.476-45.3754,-108.122,-2370.33,-1534.49,0.128
0.101137,0.018988,-26853,-0.00608702,-0.262395,-0.974449,-58.5565,-76.2434,1.66213,2.98408,174.891,123.828,12.9534,-39.867,-135.565,-400.637-45.9192,-107.189,-2342.26,-1524.87,0.132
0.0947427,0.018403,-26758.4,-0.00565454,-0.265727,-0.965294,-57.8522,-75.756,1.61032,3.14354,175.433,125.431,10.9995,-35.515,-100.534,-376.553-46.5022,-106.182,-2314.09,-1515.12,0.136
0.08888,0.0178923,-26668.4,-0.00524065,-0.26925,-0.955536,-57.146,-75.2623,1.56632,3.2856,175.835,126.937,9.21883,-31.4617,-67.2,-353.207-47.1188,-105.109,-2285.84,-1505.25,0.14
0.083501,0.0174475,-26582.8,-0.00484455,-0.272935,-0.945242,-56.4385,-74.7627,1.52945,3.41145,176.104,128.35,7.59832,-27.6896,-35.4987,-330.58-47.7636,-103.977,-2257.54,-1495.25,0.144
0.0785621,0.0170606,-26501.5,-0.00446544,-0.276755,-0.934475,-55.7301,-74.2577,1.49905,3.52221,176.246,129.672,6.12577,-24.1819,-5.36846,-308.652-48.4321,-102.792,-2229.21,-1485.15,0.148
0.0740226,0.0167246,-26424.2,-0.0041026,-0.280684,-0.923294,-55.0215,-73.7476,1.47455,3.61894,176.268,130.907,4.78984,-20.9229,23.2503,-287.407-49.1197,-101.562,-2200.86,-1474.95,0.152
0.0698456,0.0164328,-26350.9,-0.00375532,-0.284701,-0.911751,-54.3129,-73.2327,1.45539,3.70263,176.175,132.056,3.58001,-17.8977,50.4154,-266.827-49.8226,-100.293,-2172.52,-1464.65,0.156
0.319326,0.0932862,-26292.9,-0.00921627,-0.178173,-0.865127,-53.6459,-72.5898,2.03158,3.96217,175.754,133.785,37.1992,-7.38314,71.8706,-238.784-31.1802,-95.164,-2145.84,-1451.8,0.16
0.290405,0.0854957,-26226.4,-0.0083437,-0.182583,-0.853072,-52.9389,-72.0664,1.88278,3.9917,175.467,134.74,32.4907,-5.43754,96.513,-219.773-31.952,-93.8379,-2117.56,-1441.33,0.164
0.263609,0.078271,-26163.4,-0.00752029,-0.18755,-0.840914,-52.2333,-71.5394,1.75282,4.01345,175.08,135.619,28.1829,-3.64391,119.855,-201.37-32.8213,-92.5005,-2089.33,-1430.79,0.168
0.238788,0.0715727,-26103.7,-0.00674358,-0.193003,-0.828683,-51.5294,-71.009,1.64009,4.02803,174.601,136.425,24.2461,-1.99277,141.946,-183.557-33.7755,-91.1551,-2061.18,-1420.18,0.172
0.215801,0.0653638,-26047.3,-0.00601121,-0.198875,-0.816407,-50.8276,-70.4755,1.54311,4.036,174.033,137.159,20.6525,-0.475218,162.836,-166.32-34.8031,-89.8047,-2033.1,-1409.51,0.176
0.19452,0.0596102,-25994.1,-0.00532096,-0.205107,-0.804111,-50.1283,-69.9392,1.4605,4.0379,173.382,137.824,17.3763,0.91718,182.571,-149.644-35.8936,-88.4522,-2005.13,-1398.78,0.18
0.174822,0.0542799,-25943.8,-0.00467069,-0.211642,-0.791819,-49.4317,-69.4004,1.39099,4.03423,172.652,138.423,14.3936,2.19236,201.198,-133.514-37.0374,-87.1001,-1977.27,-1388.01,0.184
0.156596,0.0493433,-25896.4,-0.00405836,-0.218432,-0.779552,-48.7381,-68.8593,1.33342,4.02546,171.847,138.957,11.6821,3.35781,218.759,-117.916-38.2256,-85.7507,-1949.53,-1377.19,0.188
0.139736,0.0447728,-25851.7,-0.00348206,-0.22543,-0.767329,-48.048,-68.3162,1.28669,4.01203,170.972,139.429,9.2211,4.42059,235.297,-102.835-39.4503,-84.4062,-1921.92,-1366.32,0.192
0.124145,0.0405427,-25809.7,-0.00293992,-0.232596,-0.755168,-47.3614,-67.7713,1.2498,3.99435,170.031,139.84,6.99124,5.38735,250.853,-88.2588-40.7043,-83.0685,-1894.46,-1355.43,0.196
0.409472,0.129127,-25782.7,-0.00968117,-0.105874,-0.700844,-46.7284,-67.0751,1.80164,4.15842,168.812,140.843,43.5001,14.7464,260.855,-65.6382-18.5279,-77.0929,-1869.14,-1341.5,0.2
0.366195,0.11644,-25745,-0.00849792,-0.113573,-0.688923,-46.0498,-66.5275,1.62764,4.09944,167.769,141.106,37.5491,14.8204,274.798,-52.3375-19.8752,-75.7816,-1841.99,-1330.55,0.204
0.326103,0.104665,-25709.8,-0.0073901,-0.12192,-0.677239,-45.3756,-65.9789,1.47744,4.04016,166.669,141.315,32.1145,14.8622,287.865,-39.4938-21.3361,-74.4963,-1815.02,-1319.58,0.208
0.288984,0.0937414,-25676.8,-0.00635375,-0.130825,-0.665792,-44.7058,-65.4296,1.34898,3.98071,165.518,141.473,27.1574,14.8744,300.091,-27.0949-22.8944,-73.2371,-1788.23,-1308.59,0.212
0.254637,0.0836138,-25645.9,-0.00538505,-0.140205,-0.654583,-44.0407,-64.8798,1.24035,3.92121,164.318,141.582,22.642,14.8594,311.51,-15.129-24.5358,-72.0041,-1761.63,-1297.6,0.216
0.222876,0.0742298,-25617.2,-0.00448038,-0.149982,-0.643611,-43.3806,-64.3296,1.14979,3.86177,163.072,141.642,18.5347,14.8194,322.155,-3.58441-26.2469,-70.7972,-1735.22,-1286.59,0.22
0.193526,0.0655407,-25590.4,-0.00363626,-0.160089,-0.632877,-42.7255,-63.7793,1.07565,3.80249,161.783,141.657,14.8045,14.7568,332.059,7.55014-28.0156,-69.6165,-1709.02,-1275.59,0.224
0.166425,0.0575007,-25565.6,-0.00284938,-0.170463,-0.62238,-42.0756,-63.229,1.01643,3.74347,160.455,141.626,11.4223,14.6733,341.252,18.2857-29.831,-68.4618,-1683.02,-1264.58,0.228
